AVG_CRASHES,CORRIDOR,CORR_ENDMP,CORR_MP,DEPT_ID,PER_100M_VMT,SEC_LNT_MI,SEGMENT_KEY,SIGNED_ROUTE,TOTAL_CRASHES,TYC_AADT
4.4,C005809,006+0.377,004+0.975,S-229,152.47711577703285,1.401,C005809_004+0.975_006+0.377_S-229,S-229,22,5640
1.0,C005211,000+0.859,000+0.773,N-104,622.6926691352255,0.086,C005211_000+0.773_000+0.859_N-104,,5,5113.25
3.8,C005206,001+0.276,000+0.475,N-123,164.7996679255466,0.801,C005206_000+0.475_001+0.276_N-123,,19,7882.5
1.6,C005206,000+0.475,000+0.131,N-123,191.47460214722645,0.344,C005206_000+0.131_000+0.475_N-123,,8,6651.5
4.6,C001806,000+0.254,000+0.000,N-121,578.8750844031836,0.254,C001806_000+0.000_000+0.254_N-121,,23,8566.6
1.0,C001805,000+0.790,000+0.746,N-120,459.92462254887687,0.044,C001805_000+0.746_000+0.790_N-120,BR I-15/90,5,13531
8.0,C001805,000+0.393,000+0.000,N-120,320.69940554697587,0.393,C001805_000+0.000_000+0.393_N-120,BR I-15/90,40,17380.75
0.4,C000574,010+0.975,009+0.521,S-574,145.6643428943293,1.453,C000574_009+0.521_010+0.975_S-574,S-574,2,517.5
1.0,C000574,008+0.506,007+0.344,S-574,149.21587631774582,1.161,C000574_007+0.344_008+0.506_S-574,S-574,5,1580.6
3.2,C000574,007+0.344,006+0.260,S-574,290.7042685885995,1.084,C000574_006+0.260_007+0.344_S-574,S-574,16,2780.6
1.4,C000574,006+0.260,003+0.728,S-574,103.94252433898015,2.532,C000574_003+0.728_006+0.260_S-574,S-574,7,1456.6
0.8,C000572,001+0.753,000+0.000,S-572,157.62856843549767,1.751,C000572_000+0.000_001+0.753_S-572,S-572,4,793.6666666666666
0.4,C000568,002+0.299,000+1.092,S-568,809.249039994945,1.583,C000568_000+1.092_002+0.299_S-568,S-568,2,85.5
0.6,C000567,035+1.420,030+0.398,S-567,132.45028239503958,5.954,C000567_030+0.398_035+1.420_S-567,S-567,3,208.33333333333334
0.4,C000567,006+0.515,002+0.412,S-567,56.767371915851484,4.165,C000567_002+0.412_006+0.515_S-567,S-567,2,463.25
0.0,C000566,051+0.888,041+0.692,S-566,0.0,10.176,C000566_041+0.692_051+0.888_S-566,S-566,0,28.666666666666668
0.2,C000566,024+0.489,018+0.049,S-566,139.66690961632486,6.428,C000566_018+0.049_024+0.489_S-566,S-566,1,61
0.6,C000566,018+0.049,000+0.000,S-566,134.8861015607615,18.018,C000566_000+0.000_018+0.049_S-566,S-566,3,67.6
0.6,C000565,007+0.175,003+0.160,S-565,105.63992651050056,3.998,C000565_003+0.160_007+0.175_S-565,S-565,3,389
1.4,C000559,003+0.118,000+0.000,S-559,227.60281272264783,3.109,C000559_000+0.000_003+0.118_S-559,S-559,7,541.75
0.0,C000556,044+0.088,037+0.521,S-556,0.0,6.557,C000556_037+0.521_044+0.088_S-556,S-556,0,70
0.2,C000556,036+0.540,028+0.991,S-556,132.12823922948732,7.536,C000556_028+0.991_036+0.540_S-556,S-556,1,55
0.0,C000556,028+0.991,016+0.956,S-556,0.0,11.982,C000556_016+0.956_028+0.991_S-556,S-556,0,38.75
0.8,C000556,016+0.956,006+0.345,S-556,663.1370797713588,10.656,C000556_006+0.345_016+0.956_S-556,S-556,4,31
0.6,C000556,006+0.345,000+0.000,S-556,147.78612337839385,6.426,C000556_000+0.000_006+0.345_S-556,S-556,3,173
0.2,C000552,028+0.791,017+0.000,S-552,208.87019762404137,11.784,C000552_017+0.000_028+0.791_S-552,S-552,1,22.25
0.8,C000551,006+0.519,001+0.127,S-551,434.05680155852787,5.388,C000551_001+0.127_006+0.519_S-551,S-551,4,93.66666666666667
0.0,C000547,002+0.777,000+0.000,S-547,0.0,2.774,C000547_000+0.000_002+0.777_S-547,S-547,0,175
0.0,C000544,032+0.427,031+0.947,S-544,0.0,0.477,C000544_031+0.947_032+0.427_S-544,S-544,0,50.666666666666664
0.0,C000544,031+0.947,031+0.241,S-544,0.0,0.706,C000544_031+0.241_031+0.947_S-544,S-544,0,46.75
0.0,C000544,013+0.100,000+0.000,S-544,0.0,13.077,C000544_000+0.000_013+0.100_S-544,S-544,0,132
0.2,C000541,009+0.041,000+0.000,S-541,52.890639549124074,8.957,C000541_000+0.000_009+0.041_S-541,S-541,1,115.6
6.6,C000540,024+0.759,012+0.158,S-540,173.25639010888372,12.613,C000540_012+0.158_024+0.759_S-540,S-540,33,827
1.4,C000540,011+0.404,005+0.699,S-540,288.09066470689066,5.711,C000540_005+0.699_011+0.404_S-540,S-540,7,233
0.2,C000540,005+0.699,000+0.000,S-540,63.38705348083603,5.574,C000540_000+0.000_005+0.699_S-540,S-540,1,155
0.2,C000537,023+0.105,007+0.445,S-537,127.95885356469671,15.658,C000537_007+0.445_023+0.105_S-537,S-537,1,27.333333333333332
0.4,C000537,007+0.445,000+0.000,S-537,113.8227020705314,7.474,C000537_000+0.000_007+0.445_S-537,S-537,2,128.75
0.0,C000565,002+0.061,001+0.772,S-565,0.0,0.327,C000565_001+0.772_002+0.061_S-565,S-565,0,468
0.8,C000534,025+0.156,010+0.723,S-534,265.0738823285248,14.435,C000534_010+0.723_025+0.156_S-534,S-534,4,57.25
0.4,C000534,010+0.723,000+0.000,S-534,195.47270477108233,10.724,C000534_000+0.000_010+0.723_S-534,S-534,2,52.25
2.2,C000532,016+0.357,015+0.613,S-532,103.91024405609441,0.745,C000532_015+0.613_016+0.357_S-532,S-532,11,7781.75
2.4,C000532,015+0.613,014+0.623,S-532,111.95678569818378,0.991,C000532_014+0.623_015+0.613_S-532,S-532,12,5923.2
2.8,C000532,014+0.623,013+0.650,S-532,168.67987726741285,0.972,C000532_013+0.650_014+0.623_S-532,S-532,14,4676.25
1.4,C000532,013+0.650,012+0.650,S-532,249.59760044226496,0.997,C000532_012+0.650_013+0.650_S-532,S-532,7,1540.5
1.4,C000532,012+0.650,010+0.804,S-532,256.4634668491252,1.858,C000532_010+0.804_012+0.650_S-532,S-532,7,804.5
0.6,C000532,010+0.804,007+0.923,S-532,70.85447814789273,2.767,C000532_007+0.923_010+0.804_S-532,S-532,3,838
1.0,C000532,007+0.923,003+0.366,S-532,76.80416732874355,4.533,C000532_003+0.366_007+0.923_S-532,S-532,5,786.5
0.2,C000528,006+0.871,000+0.000,S-528,35.11529357636588,6.766,C000528_000+0.000_006+0.871_S-528,S-528,1,230.5
0.4,C000522,000+0.045,000+0.000,P-266,590.1268850994777,0.045,C000522_000+0.000_000+0.045_P-266,S-522,2,4124.5
1.4,C000518,003+0.296,002+0.632,S-518,309.7646680423861,0.629,C000518_002+0.632_003+0.296_S-518,S-518,7,1967.5
0.2,C000518,000+0.047,000+0.000,S-518,225.43214426237014,0.047,C000518_000+0.000_000+0.047_S-518,S-518,1,5168.75
0.4,C000513,009+0.676,000+0.000,S-513,70.39574754719817,9.664,C000513_000+0.000_009+0.676_S-513,S-513,2,161
0.0,C000511,011+0.610,006+0.596,S-511,0.0,5.008,C000511_006+0.596_011+0.610_S-511,S-511,0,29.2
0.0,C000511,006+0.596,006+0.449,S-511,0.0,0.147,C000511_006+0.449_006+0.596_S-511,S-511,0,93.75
0.0,C000511,006+0.449,003+0.555,S-511,0.0,2.894,C000511_003+0.555_006+0.449_S-511,S-511,0,125.25
0.0,C000509,037+0.500,024+0.822,S-509,0.0,12.677,C000509_024+0.822_037+0.500_S-509,S-509,0,59
0.2,C000509,010+0.784,000+0.286,S-509,79.94883549552281,10.498,C000509_000+0.286_010+0.784_S-509,S-509,1,65.25
0.8,C000508,020+0.899,012+0.795,S-508,109.50143083110636,7.876,C000508_012+0.795_020+0.899_S-508,S-508,4,254
2.2,C000508,012+0.795,000+0.000,S-508,117.30057197799927,12.807,C000508_000+0.000_012+0.795_S-508,S-508,11,401
0.0,C000507,002+0.533,002+0.502,S-507,0.0,0.031,C000507_002+0.502_002+0.533_S-507,BR I-90/S-507,0,726.3333333333334
0.0,C000507,002+0.502,002+0.215,S-507,0.0,0.287,C000507_002+0.215_002+0.502_S-507,BR I-90/S-507,0,753
0.0,C000507,002+0.215,002+0.170,S-507,0.0,0.045,C000507_002+0.170_002+0.215_S-507,BR I-90/S-507,0,753
0.0,C000504,003+0.140,000+0.000,S-504,0.0,3.139,C000504_000+0.000_003+0.140_S-504,S-504,0,34.5
1.2,C000503,008+0.784,008+0.022,S-503,323.2508505344054,0.762,C000503_008+0.022_008+0.784_S-503,S-503,6,1334
0.4,C000503,007+0.335,006+0.242,S-503,137.77755788479539,1.095,C000503_006+0.242_007+0.335_S-503,S-503,2,726
1.2,C000503,004+0.917,003+0.697,S-503,320.96668455043107,1.172,C000503_003+0.697_004+0.917_S-503,S-503,6,873.5
0.0,C000500,030+0.471,027+0.312,S-500,0.0,3.161,C000500_027+0.312_030+0.471_S-500,S-500,0,36.25
0.0,C000500,027+0.312,018+0.647,S-500,0.0,8.671,C000500_018+0.647_027+0.312_S-500,S-500,0,23.75
1.0,C000500,007+0.908,000+0.000,S-500,598.2775984240453,7.864,C000500_000+0.000_007+0.908_S-500,S-500,5,58.2
2.2,C000489,016+0.187,005+0.576,S-489,223.57839910711732,10.525,C000489_005+0.576_016+0.187_S-489,S-489,11,256
5.2,C000487,007+0.224,004+0.126,S-487,284.46954694756965,3.107,C000487_004+0.126_007+0.224_S-487,S-487,26,1611
0.6,C000486,022+0.638,020+0.119,S-486,167.79834175168108,2.517,C000486_020+0.119_022+0.638_S-486,S-486,3,389
0.4,C000486,002+0.142,001+0.958,S-486,239.37160339025544,0.189,C000486_001+0.958_002+0.142_S-486,S-486,2,2421
0.0,C000484,025+0.214,012+0.930,S-484,0.0,12.284,C000484_012+0.930_025+0.214_S-484,S-484,0,40.4
0.2,C000484,003+0.465,000+0.000,S-484,112.22609891382223,3.517,C000484_000+0.000_003+0.465_S-484,S-484,1,138.75
0.2,C000480,003+0.082,000+0.817,S-480,205.97661300889848,2.266,C000480_000+0.817_003+0.082_S-480,S-480,1,117.33333333333333
0.4,C000478,002+0.049,000+0.000,S-478,99.18412133629973,2.045,C000478_000+0.000_002+0.049_S-478,S-478,2,540
0.6,C000474,003+1.014,003+0.878,N-474,93.49798529668634,0.136,C000474_003+0.878_003+1.014_N-474,S-474,3,12920.5
4.0,C000474,003+0.124,000+0.000,S-474,298.16341676178365,2.903,C000474_000+0.000_003+0.124_S-474,S-474,20,1265.4
0.6,C000473,014+0.370,013+0.322,S-473,363.9269277478365,1.042,C000473_013+0.322_014+0.370_S-473,S-473,3,433.25
3.0,C000473,003+0.089,000+0.000,S-473,242.6731076004274,3.109,C000473_000+0.000_003+0.089_S-473,S-473,15,1088.8
2.2,C000472,019+0.423,007+0.270,S-472,167.85489214484747,11.943,C000472_007+0.270_019+0.423_S-472,S-472,11,300.5
