SEGMENT_KEY,CORRIDOR,DEPT_ID,SEC_LNT_MI,SIGNED_ROUTE,TOTAL_CRASHES,AVG_CRASHES,PER_100M_VMT,TYC_AADT
C005809_004+0.975_006+0.377_S-229,C005809,S-229,1.401,S-229,22,4.4,152.47711577703285,5640.0
C005807_001+0.782_002+0.010_N-127,C005807,N-127,0.228,BR I-15,7,1.4,117.02161851228404,14368.0
C005807_000+0.903_001+0.222_N-127,C005807,N-127,0.319,BR I-15,10,2.0,100.1666305354612,17139.0
C005807_000+0.418_000+0.903_N-127,C005807,N-127,0.485,BR I-15,22,4.4,141.9846512320264,17496.0
C005250_000+0.000_000+0.536_N-105,C005250,N-105,0.536,,20,4.0,227.93028220420672,8965.25
C005218_002+0.527_002+0.612_N-126,C005218,N-126,0.085,BR I-15,5,1.0,562.7464263083639,5724.5
C005218_002+0.283_002+0.527_N-126,C005218,N-126,0.244,BR I-15,41,8.2,1607.5174554792197,5724.5
C005211_000+0.859_001+0.351_N-104,C005211,N-104,0.496,,7,1.4,154.22767057473433,5011.333333333333
C005211_000+0.773_000+0.859_N-104,C005211,N-104,0.086,,5,1.0,622.6926691352255,5113.25
C005211_000+0.509_000+0.773_N-104,C005211,N-104,0.264,,13,2.6,334.4272035558935,8063.75
C005211_000+0.338_000+0.509_N-104,C005211,N-104,0.171,,60,12.0,1104.9809347142016,17390.0
C005210_002+0.843_002+0.922_N-103,C005210,N-103,0.079,BR I-15,2,0.4,198.72338221330213,6976.75
C005210_002+0.597_002+0.843_N-103,C005210,N-103,0.247,BR I-15,16,3.2,508.4744030720929,6976.75
C005210_002+0.191_002+0.433_N-103,C005210,N-103,0.242,BR I-15,25,5.0,781.0761777452523,7243.2
C005210_002+0.105_002+0.191_N-103,C005210,N-103,0.086,BR I-15,22,4.4,1852.5606106654825,7562.25
C005210_001+0.606_001+0.780_N-103,C005210,N-103,0.174,BR I-15,72,14.4,1440.2680580821127,15734.0
C005210_001+0.265_001+0.606_N-103,C005210,N-103,0.341,BR I-15,56,11.2,359.6067752748878,25009.5
C005210_001+0.022_001+0.265_N-103,C005210,N-103,0.243,BR I-15,44,8.8,620.2669695405469,15987.0
C005210_000+0.230_000+0.779_N-103,C005210,N-103,0.549,BR I-15,13,2.6,108.18498158324684,11986.8
C005210_000+0.041_000+0.159_N-103,C005210,N-103,0.118,BR I-15,2,0.4,72.78524850683638,12752.75
C005210_000+0.000_000+0.041_N-103,C005210,N-103,0.041,BR I-15,1,0.2,104.73974785130113,12752.75
C005208_000+0.619_000+0.696_N-124,C005208,N-124,0.077,BR I-15,15,3.0,5832.920472741251,1829.0
C005206_001+0.764_002+0.522_N-123,C005206,N-123,0.758,,8,1.6,65.0834196264835,8880.75
C005206_001+0.419_001+0.764_N-123,C005206,N-123,0.345,,2,0.4,45.07513368660643,7043.25
C005206_000+0.475_001+0.276_N-123,C005206,N-123,0.801,,19,3.8,164.7996679255466,7882.5
C005206_000+0.131_000+0.475_N-123,C005206,N-123,0.344,,8,1.6,191.47460214722645,6651.5
C005205_007+0.845_008+0.422_N-102,C005205,N-102,0.576,,6,1.2,55.51597685859585,10275.666666666666
C005205_007+0.469_007+0.845_N-102,C005205,N-102,0.376,,11,2.2,158.11243403011673,10133.0
C005205_007+0.464_007+0.469_N-102,C005205,N-102,0.005,,0,0.0,0.0,6966.75
